Date,Phase,SSN,Current_Trajectory,Slope_Change_Next_12M,Months_From_Max
1753-08-01,Decreasing Phase,42.5,-21.53,15.67,94
1762-08-01,Decreasing Phase,95.1,-18.64,14.28,14
1771-09-01,Decreasing Phase,143.0,-1.46,-27.59,24
1783-07-01,Decreasing Phase,36.4,-14.51,8.82,55
1792-08-01,Decreasing Phase,99.0,-5.28,-7.71,54
1802-01-01,Rising Phase,70.4,12.23,-15.35,37
1812-05-01,At Minimum,6.2,1.75,6.84,48
1821-04-01,Decreasing Phase,11.8,-9.23,8.16,59
1831-06-01,Decreasing Phase,86.1,-19.03,-1.91,19
1843-08-01,Decreasing Phase,19.3,-8.1,19.84,54
1851-08-01,Decreasing Phase,119.3,-5.39,-7.65,42
1859-04-01,Rising Phase,165.9,35.76,-34.46,10
1873-01-01,Decreasing Phase,148.3,-20.52,-3.12,29
1881-08-01,Rising Phase,94.8,15.35,-20.21,28
1891-03-01,Rising Phase,42.2,25.23,4.59,34
1902-09-01,Rising Phase,11.7,5.97,14.2,41
1911-02-01,Decreasing Phase,16.2,-13.77,11.09,60
1920-01-01,Decreasing Phase,80.8,-27.77,19.59,29
1932-06-01,Decreasing Phase,20.0,-5.66,-0.21,50
1941-01-01,Decreasing Phase,94.4,-14.26,0.77,45
1950-12-01,Decreasing Phase,102.6,-22.95,-0.07,43
1961-10-01,Decreasing Phase,69.9,-23.38,12.87,55
1970-10-01,Decreasing Phase,131.1,-18.82,12.02,23
1982-05-01,Decreasing Phase,170.0,-26.08,-3.06,29
1991-04-01,Rising Phase,205.2,10.14,-52.87,17
1999-10-01,Rising Phase,156.7,29.44,-37.2,25
2011-04-01,Rising Phase,63.1,28.82,-25.22,36
2022-04-01,Rising Phase,73.1,28.24,-10.34,30
